	ensembl_id	gene_name
305	ENSG00000158055	GRHL3
306	ENSG00000001460	STPG1
307	ENSG00000001461	NIPAL3
308	ENSG00000117602	RCAN3
309	ENSG00000184454	NCMAP
310	ENSG00000133226	SRRM1
311	ENSG00000169504	CLIC4
312	ENSG00000020633	RUNX3
313	ENSG00000117614	SYF2
314	ENSG00000117616	RSRP1
315	ENSG00000187010	RHD
316	ENSG00000183726	TMEM50A
317	ENSG00000188672	RHCE
318	ENSG00000204178	MACO1
319	ENSG00000157978	LDLRAP1
320	ENSG00000117643	MAN1C1
321	ENSG00000162430	SELENON
322	ENSG00000117640	MTFR1L
323	ENSG00000127423	AUNIP
324	ENSG00000182749	PAQR7
325	ENSG00000117632	STMN1
326	ENSG00000158006	PAFAH2
327	ENSG00000158008	EXTL1
328	ENSG00000158014	SLC30A2
329	ENSG00000158022	TRIM63
330	ENSG00000175087	PDIK1L
331	ENSG00000197245	FAM110D
332	ENSG00000282872	C1orf232
333	ENSG00000236782	ZNF593OS
334	ENSG00000142675	CNKSR1
335	ENSG00000188782	CATSPER4
336	ENSG00000130695	CEP85
337	ENSG00000142669	SH3BGRL3
338	ENSG00000158062	UBXN11
339	ENSG00000169442	CD52
340	ENSG00000176092	CRYBG2
341	ENSG00000131914	LIN28A
342	ENSG00000117682	DHDDS
343	ENSG00000198830	HMGN2
344	ENSG00000117676	RPS6KA1
345	ENSG00000117713	ARID1A
346	ENSG00000060642	PIGV
347	ENSG00000204160	ZDHHC18
348	ENSG00000175793	SFN
349	ENSG00000142751	GPN2
350	ENSG00000198746	GPATCH3
351	ENSG00000090273	NUDC
352	ENSG00000131910	NR0B2
353	ENSG00000175707	KDF1
354	ENSG00000253368	TRNP1
355	ENSG00000158246	TENT5B
356	ENSG00000090020	SLC9A1
357	ENSG00000142784	WDTC1
358	ENSG00000186501	TMEM222
359	ENSG00000142765	SYTL1
360	ENSG00000142733	MAP3K6
361	ENSG00000142748	FCN3
362	ENSG00000174950	CD164L2
363	ENSG00000181773	GPR3
364	ENSG00000158195	WASF2
365	ENSG00000126705	AHDC1
366	ENSG00000000938	FGR
367	ENSG00000126709	IFI6
368	ENSG00000009780	FAM76A
369	ENSG00000117758	STX12
370	ENSG00000117751	PPP1R8
371	ENSG00000130775	THEMIS2
372	ENSG00000117748	RPA2
373	ENSG00000130768	SMPDL3B
374	ENSG00000158156	XKR8
375	ENSG00000158161	EYA3
376	ENSG00000169403	PTAFR
377	ENSG00000126698	DNAJC8
378	ENSG00000130770	ATP5IF1
379	ENSG00000130766	SESN2
380	ENSG00000130772	MED18
381	ENSG00000204138	PHACTR4
382	ENSG00000180198	RCC1
383	ENSG00000180098	TRNAU1AP
384	ENSG00000120656	TAF12
385	ENSG00000188060	RAB42
386	ENSG00000162419	GMEB1
387	ENSG00000198492	YTHDF2
388	ENSG00000116329	OPRD1
389	ENSG00000159023	EPB41
390	ENSG00000253304	TMEM200B
391	ENSG00000116350	SRSF4
392	ENSG00000116353	MECR
393	ENSG00000060656	PTPRU
394	ENSG00000162510	MATN1
395	ENSG00000162511	LAPTM5
396	ENSG00000162512	SDC3
397	ENSG00000134644	PUM1
398	ENSG00000084628	NKAIN1
399	ENSG00000060688	SNRNP40
400	ENSG00000121766	ZCCHC17
401	ENSG00000121769	FABP3
402	ENSG00000168528	SERINC2
403	ENSG00000142910	TINAGL1
404	ENSG00000121764	HCRTR1
405	ENSG00000162517	PEF1
406	ENSG00000084636	COL16A1
407	ENSG00000121753	ADGRB2
408	ENSG00000134668	SPOCD1
409	ENSG00000184007	PTP4A2
410	ENSG00000121774	KHDRBS1
411	ENSG00000121775	TMEM39B
412	ENSG00000025800	KPNA6
413	ENSG00000084652	TXLNA
414	ENSG00000160050	CCDC28B
415	ENSG00000160051	IQCC
416	ENSG00000222046	DCDC2B
417	ENSG00000160055	TMEM234
418	ENSG00000084623	EIF3I
419	ENSG00000183615	FAM167B
420	ENSG00000182866	LCK
421	ENSG00000116478	HDAC1
422	ENSG00000175130	MARCKSL1
423	ENSG00000162526	TSSK3
424	ENSG00000225828	FAM229A
425	ENSG00000160058	BSDC1
426	ENSG00000160062	ZBTB8A
427	ENSG00000176261	ZBTB8OS
428	ENSG00000162521	RBBP4
429	ENSG00000162520	SYNC
430	ENSG00000162522	KIAA1522
431	ENSG00000134684	YARS1
432	ENSG00000116497	S100PBP
433	ENSG00000160097	FNDC5
434	ENSG00000121905	HPCA
435	ENSG00000121900	TMEM54
436	ENSG00000116514	RNF19B
437	ENSG00000004455	AK2
438	ENSG00000142920	AZIN2
439	ENSG00000116525	TRIM62
440	ENSG00000160094	ZNF362
441	ENSG00000134686	PHC2
442	ENSG00000121903	ZSCAN20
443	ENSG00000121904	CSMD2
444	ENSG00000176256	HMGB4
445	ENSG00000142698	C1orf94
446	ENSG00000163866	SMIM12
447	ENSG00000189280	GJB5
448	ENSG00000189433	GJB4
449	ENSG00000188910	GJB3
450	ENSG00000187513	GJA4
451	ENSG00000116544	DLGAP3
452	ENSG00000243749	TMEM35B
453	ENSG00000163867	ZMYM6
454	ENSG00000197056	ZMYM1
455	ENSG00000116560	SFPQ
456	ENSG00000146463	ZMYM4
457	ENSG00000142687	KIAA0319L
458	ENSG00000020129	NCDN
459	ENSG00000116819	TFAP2E
460	ENSG00000126067	PSMB2
461	ENSG00000142686	C1orf216
462	ENSG00000092853	CLSPN
463	ENSG00000134698	AGO4
464	ENSG00000092850	TEKT2
465	ENSG00000116863	ADPRS
466	ENSG00000171812	COL8A2
467	ENSG00000054116	TRAPPC3
468	ENSG00000116871	MAP7D1
469	ENSG00000054118	THRAP3
470	ENSG00000214193	SH3D21
471	ENSG00000196182	STK40
472	ENSG00000181817	LSM10
473	ENSG00000116885	OSCP1
474	ENSG00000116898	MRPS15
475	ENSG00000119535	CSF3R
476	ENSG00000163873	GRIK3
477	ENSG00000163874	ZC3H12A
478	ENSG00000163875	MEAF6
479	ENSG00000163877	SNIP1
480	ENSG00000163879	DNALI1
481	ENSG00000134697	GNL2
482	ENSG00000169218	RSPO1
483	ENSG00000116922	C1orf109
484	ENSG00000134690	CDCA8
485	ENSG00000183317	EPHA10
486	ENSG00000185090	MANEAL
487	ENSG00000196449	YRDC
488	ENSG00000197982	C1orf122
489	ENSG00000188786	MTF1
490	ENSG00000204084	INPP5B
491	ENSG00000183431	SF3A3
492	ENSG00000183386	FHL3
493	ENSG00000183520	UTP11
494	ENSG00000185668	POU3F1
495	ENSG00000116954	RRAGC
496	ENSG00000214114	MYCBP
497	ENSG00000131233	GJA9
498	ENSG00000158315	RHBDL2
499	ENSG00000174574	AKIRIN1
500	ENSG00000168653	NDUFS5
501	ENSG00000127603	MACF1
502	ENSG00000183682	BMP8A
503	ENSG00000090621	PABPC4
504	ENSG00000163909	HEYL
505	ENSG00000116981	NT5C1A
506	ENSG00000116983	HPCAL4
507	ENSG00000084072	PPIE
508	ENSG00000116985	BMP8B
509	ENSG00000198754	OXCT2
510	ENSG00000043514	TRIT1
511	ENSG00000116990	MYCL
512	ENSG00000168389	MFSD2A
513	ENSG00000131236	CAP1
514	ENSG00000131238	PPT1
515	ENSG00000117000	RLF
516	ENSG00000188800	TMCO2
517	ENSG00000084073	ZMPSTE24
518	ENSG00000049089	COL9A2
519	ENSG00000084070	SMAP2
520	ENSG00000187801	ZFP69B
521	ENSG00000187815	ZFP69
522	ENSG00000164002	EXO5
523	ENSG00000117010	ZNF684
524	ENSG00000117016	RIMS3
525	ENSG00000066136	NFYC
526	ENSG00000117013	KCNQ4
527	ENSG00000179862	CITED4
528	ENSG00000171793	CTPS1
529	ENSG00000171790	SLFNL1
530	ENSG00000010803	SCMH1
532	ENSG00000127129	EDN2
533	ENSG00000127124	HIVEP3
534	ENSG00000044012	GUCA2B
535	ENSG00000197273	GUCA2A
536	ENSG00000198815	FOXJ3
537	ENSG00000177181	RIMKLA
538	ENSG00000066185	ZMYND12
539	ENSG00000127125	PPCS
540	ENSG00000186409	CCDC30
541	ENSG00000171960	PPIH
542	ENSG00000065978	YBX1
543	ENSG00000164007	CLDN19
544	ENSG00000117385	P3H1
545	ENSG00000164008	C1orf50
546	ENSG00000274386	TMEM269
547	ENSG00000177868	SVBP
548	ENSG00000164010	ERMAP
549	ENSG00000164011	ZNF691
550	ENSG00000117394	SLC2A1
551	ENSG00000186973	FAM183A
552	ENSG00000117395	EBNA1BP2
553	ENSG00000243710	CFAP57
554	ENSG00000179178	TMEM125
555	ENSG00000253313	C1orf210
556	ENSG00000066056	TIE1
557	ENSG00000117400	MPL
558	ENSG00000117399	CDC20
559	ENSG00000066322	ELOVL1
560	ENSG00000159479	MED8
561	ENSG00000198198	SZT2
562	ENSG00000142949	PTPRF
563	ENSG00000066135	KDM4A
564	ENSG00000126091	ST3GAL3
565	ENSG00000117407	ARTN
566	ENSG00000117408	IPO13
567	ENSG00000132768	DPH2
568	ENSG00000117410	ATP6V0B
569	ENSG00000117411	B4GALT2
570	ENSG00000159214	CCDC24
